0.172,0.016,0.133,0.132,0.204,0.013,0.194,0.191,47.336,0.08
0.172,0.016,0.133,0.109,0.172,0.016,0.128,0.202,0.0,0.0
0.004,0.069,0.155,0.078,0.172,0.016,0.133,0.233,0.0,0.0
0.172,0.016,0.133,0.233,0.004,0.069,0.155,0.078,0.0,0.0
0.172,0.016,0.133,0.103,0.216,0.219,0.112,0.25,63.42,0.443
0.216,0.219,0.112,0.25,0.172,0.016,0.133,0.103,0.443,63.42
0.216,0.115,0.22,0.254,0.172,0.016,0.133,0.024,0.443,57.67
0.172,0.016,0.133,0.024,0.216,0.115,0.22,0.254,57.67,0.443
0.172,0.016,0.133,0.109,0.172,0.016,0.128,0.202,0.0,0.0
0.068,0.087,0.145,0.049,0.172,0.016,0.133,0.109,0.0,0.0
0.05,0.019,0.093,0.194,0.172,0.016,0.133,0.039,0.08,64.315
0.172,0.016,0.133,0.039,0.05,0.019,0.093,0.194,64.315,0.08
0.172,0.016,0.133,0.067,0.216,0.219,0.115,0.25,55.916,0.443
0.216,0.219,0.115,0.25,0.172,0.016,0.133,0.067,0.443,55.916
0.172,0.016,0.133,0.041,0.173,0.194,0.043,0.045,53.114,0.08
0.173,0.194,0.043,0.045,0.172,0.016,0.133,0.041,0.08,53.114
0.172,0.016,0.133,0.044,0.208,0.111,0.161,0.254,64.812,0.08
0.208,0.111,0.161,0.254,0.172,0.016,0.133,0.044,0.08,64.812
0.172,0.016,0.128,0.254,0.172,0.016,0.133,0.233,0.0,0.0
0.172,0.016,0.133,0.233,0.172,0.016,0.128,0.254,0.0,0.0
0.172,0.016,0.133,0.092,0.068,0.064,0.03,0.25,57.609,0.443
0.068,0.064,0.03,0.25,0.172,0.016,0.133,0.092,0.443,57.609
0.172,0.016,0.133,0.018,0.128,0.177,0.036,0.073,50.314,0.08
0.128,0.177,0.036,0.073,0.172,0.016,0.133,0.018,0.08,50.314
0.209,0.19,0.07,0.254,0.172,0.016,0.133,0.054,0.08,64.697
0.172,0.016,0.133,0.054,0.209,0.19,0.07,0.254,64.697,0.08
0.216,0.052,0.121,0.204,0.172,0.016,0.133,0.041,0.08,52.805
0.172,0.016,0.133,0.041,0.216,0.052,0.121,0.204,52.805,0.08
0.023,0.02,0.01,0.203,0.172,0.016,0.133,0.024,0.443,57.728
0.172,0.016,0.133,0.024,0.023,0.02,0.01,0.203,57.728,0.443
0.004,0.069,0.134,0.074,0.172,0.016,0.133,0.233,0.0,0.0
0.064,0.214,0.141,0.254,0.172,0.016,0.133,0.118,0.0,0.0
0.172,0.016,0.133,0.132,0.023,0.067,0.242,0.01,50.386,0.08
0.023,0.067,0.242,0.01,0.172,0.016,0.133,0.132,0.08,50.386
0.173,0.194,0.074,0.084,0.172,0.016,0.133,0.02,0.443,62.312
0.172,0.016,0.133,0.02,0.173,0.194,0.074,0.084,62.312,0.443
0.008,0.027,0.243,0.253,0.172,0.016,0.133,0.028,0.08,65.286
0.172,0.016,0.133,0.028,0.008,0.027,0.243,0.253,65.286,0.08
0.172,0.016,0.133,0.025,0.202,0.173,0.024,0.2,63.532,0.443
0.202,0.173,0.024,0.2,0.172,0.016,0.133,0.025,0.443,63.532
0.023,0.033,0.083,0.078,0.172,0.016,0.133,0.153,0.08,55.643
0.172,0.016,0.133,0.153,0.023,0.033,0.083,0.078,55.643,0.08
